Sender,Receiver,Amount,Category,Transaction_Date,Fraudulent
32115,25716,1271,Bills,2024-03-28,0
31692,11513,1737,Travel,2023-02-28,0
27658,42507,2081,Entertainment,2023-09-30,0
77002,17012,3873,Groceries,2023-04-19,0
81537,96690,3593,Bills,2024-06-19,0
56545,83183,1236,Electronics,2024-05-23,0
20373,15952,4932,Groceries,2023-11-04,0
98827,17200,998,Electronics,2023-12-20,0
81397,33072,3564,Electronics,2024-05-02,1
93611,65258,3241,Electronics,2023-09-20,0
89741,24447,2394,Groceries,2024-02-18,0
69349,40076,1244,Electronics,2025-01-15,0
63607,46917,2072,Bills,2024-05-12,0
79398,16692,166,Groceries,2024-09-08,0
33754,98681,3496,Travel,2023-03-24,0
78143,24712,867,Travel,2023-01-25,0
21173,51038,987,Electronics,2024-03-06,0
53233,58500,4979,Bills,2024-06-22,0
87173,39717,1152,Electronics,2024-06-22,0
14423,98668,1852,Travel,2023-05-23,1
79886,83176,1822,Entertainment,2023-10-02,0
63943,33250,3388,Travel,2024-07-04,0
56434,28033,956,Bills,2024-11-25,0
84374,62374,3991,Bills,2023-09-21,0
36911,56327,2295,Travel,2024-01-11,0
46770,40001,2852,Bills,2024-02-20,0
17574,81954,1998,Travel,2024-02-03,0
74071,88906,2827,Travel,2023-05-17,1
90830,60273,2954,Travel,2024-03-03,0
79567,42507,4498,Bills,2023-04-03,0
30677,54036,2935,Electronics,2023-10-29,1
40186,15674,135,Groceries,2023-06-03,0
43730,15952,3554,Groceries,2023-09-16,0
97438,81591,2001,Groceries,2024-07-31,0
58588,12961,1597,Bills,2024-12-04,0
27658,79755,1080,Entertainment,2023-02-05,0
91816,28472,1047,Groceries,2023-08-14,1
12243,79214,2930,Bills,2024-06-14,0
37093,12767,1696,Travel,2024-05-11,0
82274,81954,4469,Electronics,2023-08-29,0
65651,13513,480,Electronics,2024-07-22,0
36578,70607,1660,Bills,2023-10-10,0
78480,80354,1358,Electronics,2024-03-27,0
35206,82110,2349,Electronics,2024-07-17,0
81397,79310,40,Groceries,2023-07-04,0
49678,46941,383,Travel,2024-03-18,0
64777,26209,285,Bills,2023-07-17,0
67254,40001,1667,Electronics,2023-11-24,0
92242,47010,178,Electronics,2024-09-17,1
36908,53834,203,Entertainment,2023-06-01,0
15607,81265,880,Travel,2024-04-19,0
38923,78198,1032,Bills,2024-08-28,0
73084,21946,3197,Electronics,2023-09-06,0
59113,79001,2161,Electronics,2024-10-27,0
15356,93379,3142,Entertainment,2024-12-01,0
68229,96561,4519,Groceries,2023-02-26,0
40137,70219,296,Travel,2024-06-08,0
37093,32124,1796,Electronics,2024-03-12,0
31692,87508,4808,Groceries,2024-10-03,0
90993,61020,3300,Electronics,2025-01-15,0
94110,83547,436,Electronics,2023-05-22,0
88410,17283,2037,Groceries,2024-05-15,0
87173,93603,4262,Entertainment,2024-12-07,0
17157,76168,637,Entertainment,2024-10-15,0
13849,44974,4851,Bills,2023-05-05,0
36911,28139,4593,Electronics,2023-11-06,0
13053,58358,3728,Travel,2023-02-15,0
74544,11033,954,Entertainment,2024-03-05,0
33278,27088,3915,Bills,2024-12-10,0
43357,65129,2066,Travel,2023-09-23,0
69589,53355,2373,Entertainment,2023-08-25,0
84406,74468,4396,Bills,2024-11-07,1
29338,59496,936,Travel,2023-10-04,0
96413,15975,1157,Entertainment,2023-12-09,0
36046,82672,848,Electronics,2023-06-22,0
34908,37938,4651,Electronics,2024-05-16,0
82305,45295,1612,Groceries,2023-01-28,0
87173,77442,2655,Travel,2023-07-28,0
33754,65705,626,Travel,2023-04-29,0
90812,18266,1036,Electronics,2023-05-14,0
90982,30759,4891,Electronics,2024-04-12,0
24417,93379,4455,Travel,2024-06-10,0
28883,42507,3518,Entertainment,2023-05-28,0
99950,65258,710,Entertainment,2023-10-27,0
60486,84102,4976,Electronics,2023-10-19,0
28382,39177,338,Bills,2024-07-15,0
61856,78656,3503,Electronics,2023-08-05,0
59264,25361,2297,Travel,2024-07-12,0
97700,37368,1791,Groceries,2024-06-05,0
72729,89426,1587,Entertainment,2023-12-02,0
67844,84250,4825,Travel,2023-03-28,0
61179,17877,3771,Entertainment,2023-03-11,0
59757,77442,2615,Groceries,2023-12-06,0
27658,50247,518,Groceries,2023-10-05,0
99303,87671,1097,Electronics,2024-03-05,0
52243,44469,4745,Groceries,2024-06-13,0
46585,51680,4135,Bills,2024-05-26,0
90238,97396,3159,Travel,2024-07-15,0
93796,33112,4244,Electronics,2024-03-17,0
52243,57846,3408,Bills,2024-08-28,0
48599,21631,2509,Entertainment,2023-09-04,0
52275,28286,4509,Entertainment,2023-05-10,0
26249,28113,61,Groceries,2023-06-02,0
27758,91803,3185,Groceries,2024-01-16,0
14751,16002,1331,Bills,2023-02-03,0
29359,15935,1535,Bills,2023-12-16,0
90830,88815,1868,Electronics,2023-10-13,0
52983,19403,1533,Groceries,2024-06-05,0
18183,57781,228,Travel,2023-11-01,0
69589,26909,3765,Electronics,2024-08-17,0
33964,27849,3643,Groceries,2024-11-14,0
46770,93379,4473,Travel,2024-08-30,0
73478,51786,4617,Groceries,2024-09-18,0
38880,52814,4416,Travel,2024-10-20,0
37219,89529,2217,Electronics,2023-08-27,0
20452,65258,797,Travel,2023-09-07,0
73067,90333,2297,Entertainment,2024-11-07,0
46430,83333,2093,Travel,2024-05-23,0
13053,93361,4675,Travel,2024-01-26,0
68424,23609,158,Bills,2023-04-26,0
37503,84102,2516,Travel,2024-07-17,0
46430,15935,1369,Entertainment,2023-05-28,0
90982,20152,1681,Entertainment,2024-01-02,0
50026,15975,4996,Travel,2023-11-03,0
23705,88385,3088,Entertainment,2023-05-09,0
92967,24806,3797,Electronics,2024-10-02,0
68293,66057,622,Bills,2024-12-27,0
31192,62469,3125,Electronics,2023-12-13,0
45600,82857,2239,Entertainment,2024-08-17,0
11486,91499,1078,Entertainment,2023-06-02,0
65981,51680,2127,Bills,2023-04-20,0
12428,64676,2255,Groceries,2023-07-15,0
18284,29760,1930,Travel,2024-07-05,0
81100,68209,3894,Travel,2023-06-17,0
36556,23513,3685,Groceries,2024-07-22,1
61985,25800,3780,Electronics,2024-05-31,0
29823,93379,2825,Electronics,2023-06-11,0
35979,47708,2646,Entertainment,2025-01-12,0
60486,28655,3451,Electronics,2023-05-27,0
39461,30707,3968,Bills,2024-02-25,0
17650,68248,1211,Electronics,2024-09-09,0
32736,60831,4413,Travel,2023-05-29,0
75812,65319,2912,Travel,2024-07-05,0
26249,55647,2324,Travel,2024-08-12,0
11966,46194,4249,Entertainment,2024-02-28,0
87926,21946,4001,Travel,2024-01-18,0
15987,51625,2840,Entertainment,2023-05-30,0
67674,79339,3746,Electronics,2024-09-05,0
62179,50707,4839,Entertainment,2024-03-09,0
26249,89514,1337,Bills,2024-12-18,0
52983,45047,4622,Entertainment,2024-02-11,0
65411,18266,2678,Entertainment,2025-01-20,0
29513,45755,4087,Groceries,2024-04-11,0
90031,64676,274,Entertainment,2023-03-09,0
55513,73059,425,Electronics,2024-01-07,0
37093,48758,2239,Bills,2023-03-24,0
36911,14952,1459,Groceries,2023-10-09,0
33306,44945,1226,Entertainment,2023-06-19,0
53095,94063,430,Travel,2023-10-19,0
89741,77445,208,Bills,2023-03-27,0
44113,83643,4432,Entertainment,2023-08-11,0
33306,11417,1695,Electronics,2023-05-26,0
68229,48296,3316,Entertainment,2024-05-28,0
62580,76929,2252,Travel,2023-10-20,0
70062,14952,3504,Electronics,2023-12-06,0
41834,88906,4748,Travel,2023-12-15,0
88852,64810,2986,Travel,2024-07-16,0
46029,39717,2621,Electronics,2024-02-04,0
85292,58262,4154,Bills,2024-11-20,0
97108,68218,2137,Groceries,2024-05-21,0
76431,31436,1869,Electronics,2023-08-03,0
46770,75112,4585,Bills,2023-03-14,0
61540,41124,1895,Groceries,2023-06-05,0
43730,33250,256,Bills,2024-11-06,0
69698,12961,2425,Electronics,2023-01-27,0
66248,70649,572,Groceries,2024-12-15,0
52597,40001,4361,Groceries,2023-05-23,0
34446,32169,2687,Groceries,2023-12-16,0
93530,20990,1776,Travel,2023-08-01,0
82274,71900,4809,Bills,2023-04-13,0
47304,60838,4591,Bills,2024-10-28,0
88852,21946,1489,Travel,2023-11-06,0
43178,29517,1097,Entertainment,2023-08-06,0
28883,30662,454,Entertainment,2023-02-11,0
20254,45755,246,Electronics,2023-11-03,0
37503,45921,469,Electronics,2024-05-14,0
63861,51713,4462,Entertainment,2023-05-02,0
54039,26885,780,Travel,2023-12-01,0
61540,79973,693,Electronics,2024-10-03,0
77358,34627,3845,Bills,2023-03-01,0
90432,95898,3478,Bills,2023-03-11,0
58430,28139,2446,Bills,2023-08-19,0
61713,41124,3423,Entertainment,2024-06-04,0
69698,17552,2374,Electronics,2024-04-09,0
94749,21631,1585,Electronics,2023-11-23,0
53095,81112,193,Travel,2023-09-02,0
39461,70649,2012,Travel,2024-12-26,0
52597,79310,3802,Bills,2023-04-03,0
52983,13122,1015,Entertainment,2024-02-17,0
38309,15952,2424,Bills,2024-09-07,0
67254,71575,1576,Electronics,2023-03-24,0
61856,99568,4864,Bills,2023-09-19,0
23748,99298,1078,Entertainment,2024-01-09,0
53233,10989,796,Travel,2023-05-02,0
55513,27177,2698,Groceries,2024-12-31,0
84406,29517,3709,Entertainment,2023-06-08,0
35979,57519,661,Entertainment,2024-09-11,0
63716,42760,2898,Bills,2024-08-14,0
20452,57846,2708,Electronics,2024-08-10,0
18504,75112,4206,Travel,2024-06-27,0
82305,89514,1955,Travel,2023-04-01,0
79404,28298,2376,Bills,2024-05-25,0
79886,95690,3221,Groceries,2024-05-23,0
58588,85971,1396,Groceries,2024-07-21,0
96604,47133,4773,Groceries,2023-07-26,0
27329,42369,2035,Bills,2025-01-10,0
42883,44945,4338,Travel,2023-06-04,0
56045,75466,4435,Entertainment,2024-12-15,1
72870,98676,1485,Electronics,2024-12-30,0
70144,99298,301,Bills,2023-02-15,0
37638,98491,3385,Groceries,2023-03-25,0
70062,66891,3123,Travel,2024-05-02,0
85702,35881,2337,Travel,2023-12-14,0
81828,46516,1765,Travel,2023-02-27,0
92907,98447,2787,Groceries,2024-05-27,0
28043,34525,1323,Groceries,2023-04-03,0
54785,29618,3112,Entertainment,2023-10-09,0
49678,50011,4638,Travel,2023-06-13,0
40694,64773,11,Electronics,2024-10-29,0
89741,88984,3009,Entertainment,2024-10-13,0
18510,90333,881,Groceries,2024-12-06,0
83128,98447,2171,Entertainment,2024-09-25,0
32035,58262,3602,Groceries,2024-09-22,0
85702,44974,4947,Entertainment,2023-02-14,0
11211,93603,4398,Groceries,2024-06-09,0
88852,13922,3876,Groceries,2024-08-18,0
81100,50214,842,Groceries,2023-06-12,0
62179,40747,3948,Travel,2023-08-06,0
34446,64676,4404,Bills,2024-12-22,0
10006,41124,4900,Groceries,2023-09-22,0
36911,69021,12,Entertainment,2023-12-16,0
48040,23539,714,Electronics,2023-07-07,0
13849,79973,1638,Bills,2024-11-12,1
20254,37010,3426,Electronics,2024-02-07,0
25951,79339,627,Electronics,2024-09-01,0
30187,69007,152,Bills,2023-09-27,0
10448,87163,3453,Bills,2024-09-09,0
56494,30662,4043,Bills,2024-09-02,0
60001,93320,1959,Groceries,2024-05-31,0
79967,88858,1729,Travel,2024-09-04,0
77562,10926,2163,Travel,2024-02-13,0
15356,21631,3363,Groceries,2023-07-21,0
14423,37938,216,Bills,2023-03-14,0
37010,71543,1437,Bills,2023-05-02,0
67844,28297,2425,Electronics,2024-06-17,0
22229,79339,864,Electronics,2023-07-04,0
92967,70551,4743,Travel,2023-09-06,0
79886,27088,3635,Bills,2023-03-05,0
83493,72028,4853,Travel,2024-04-24,0
97700,58382,3420,Travel,2023-12-22,0
58808,61069,1384,Entertainment,2024-10-19,0
49391,42592,4729,Electronics,2023-04-28,0
70940,32162,1904,Bills,2023-07-03,0
87298,17283,1161,Electronics,2024-10-19,0
77731,25970,2439,Travel,2025-01-17,0
82386,83176,4139,Entertainment,2024-09-01,0
19836,98514,4899,Electronics,2023-11-02,0
96894,68248,2605,Bills,2023-08-09,0
91816,87511,3387,Bills,2023-05-22,0
54029,74936,24,Electronics,2024-03-04,0
54319,13567,4291,Groceries,2023-03-30,0
54785,29816,2971,Travel,2024-03-10,0
13176,76929,1833,Travel,2023-07-25,0
46430,71900,1314,Electronics,2023-06-12,0
23748,17552,4715,Electronics,2024-05-27,0
70949,17877,767,Travel,2024-03-23,0
69144,82053,4976,Entertainment,2024-04-15,0
24861,69007,2893,Groceries,2023-06-30,0
36046,65375,4630,Groceries,2023-04-22,0
28355,15935,1786,Entertainment,2023-04-07,0
79886,25970,4110,Electronics,2024-09-29,0
42530,39194,3651,Groceries,2023-03-05,0
16154,10352,4196,Bills,2024-11-29,0
17413,70219,4970,Electronics,2024-12-10,0
62219,48317,3704,Groceries,2024-02-18,0
97108,13513,3270,Travel,2024-08-12,0
52597,46652,20,Travel,2024-10-10,0
33306,63444,2965,Electronics,2024-03-14,0
51188,18936,925,Bills,2023-02-18,0
54836,83176,85,Bills,2023-12-16,0
83116,53755,191,Groceries,2024-11-19,0
83546,88984,1870,Entertainment,2023-04-12,0
11537,23635,1778,Electronics,2024-09-04,0
68128,47684,230,Groceries,2023-03-24,0
35206,77442,3216,Entertainment,2024-04-29,0
69842,49120,1167,Groceries,2023-07-28,0
82635,96690,3281,Travel,2024-11-23,0
46585,67371,4793,Bills,2024-11-14,0
59264,38218,3944,Bills,2023-10-16,0
68293,37010,288,Travel,2023-12-04,0
83493,16751,3453,Entertainment,2023-04-29,0
33754,46652,1373,Entertainment,2024-12-27,0
49321,17283,2768,Travel,2024-10-26,0
28639,46194,2597,Bills,2023-11-26,0
94231,55647,1343,Electronics,2024-04-19,0
31692,98681,2002,Groceries,2024-01-18,0
96857,59030,3801,Bills,2024-04-27,1
54319,86265,3735,Groceries,2023-03-29,0
63861,28655,2992,Electronics,2025-01-22,0
62179,82110,4706,Entertainment,2024-03-09,0
84374,35881,3665,Groceries,2024-05-12,0
37556,29797,927,Groceries,2024-08-13,0
18510,70219,4303,Travel,2023-11-25,0
39145,96336,2526,Electronics,2023-09-10,0
12267,77442,2984,Bills,2024-05-19,0
44774,48317,3786,Electronics,2023-02-04,0
69391,46194,24,Entertainment,2024-10-31,0
61179,45295,1237,Travel,2024-03-01,0
13931,22689,3959,Travel,2024-02-10,0
39710,31436,182,Bills,2024-09-03,0
49321,80927,377,Travel,2024-01-25,0
93530,26209,1760,Entertainment,2023-04-26,0
45642,87671,2619,Electronics,2023-04-09,0
81201,19470,3736,Travel,2024-04-20,0
82274,64676,374,Bills,2024-05-07,0
42883,45537,3079,Travel,2024-03-02,0
70058,15745,3183,Groceries,2023-06-09,0
99187,83333,3181,Bills,2024-09-30,0
63607,36177,3906,Travel,2023-12-29,0
88026,86739,614,Groceries,2024-05-22,0
17157,12501,1183,Groceries,2024-08-12,0
48159,87163,3876,Entertainment,2024-05-20,0
33754,29247,984,Travel,2024-01-03,0
47559,64146,937,Electronics,2024-11-06,0
25723,16692,3207,Groceries,2023-09-08,0
62179,12084,4209,Electronics,2025-01-11,0
81100,25361,3265,Bills,2023-10-27,0
78204,72270,3098,Travel,2023-07-19,0
69391,77865,3219,Entertainment,2024-07-08,0
93530,25168,812,Bills,2025-01-20,0
17568,41340,4783,Electronics,2024-05-15,0
90812,29618,2807,Groceries,2023-09-03,0
83116,45642,88,Groceries,2023-07-08,0
73478,95690,725,Bills,2025-01-03,0
37556,42018,4469,Electronics,2023-09-10,0
96263,48296,4378,Bills,2024-05-05,0
38391,36177,1256,Groceries,2023-02-24,0
58424,31908,3033,Groceries,2024-08-18,0
36578,24712,563,Electronics,2023-11-18,1
84406,23539,67,Entertainment,2024-10-12,0
36556,12323,3671,Bills,2024-12-15,0
33306,35950,1283,Travel,2024-09-15,0
76523,48860,1643,Electronics,2024-05-18,0
87406,12084,2426,Travel,2024-10-10,0
94399,73404,4874,Travel,2025-01-07,0
93936,13922,2345,Entertainment,2023-08-22,0
83116,11417,2843,Electronics,2023-07-01,1
82493,28033,3688,Groceries,2023-03-06,0
94691,51038,2175,Entertainment,2023-10-14,1
35810,70649,232,Electronics,2023-03-02,0
79886,23539,4793,Travel,2024-11-22,0
38823,95367,4794,Electronics,2023-02-11,0
33306,41124,1342,Electronics,2024-10-23,0
50270,12084,4378,Bills,2023-04-06,0
97438,49853,3478,Entertainment,2024-02-17,0
22229,12323,3103,Bills,2024-05-31,0
52057,64466,4114,Groceries,2024-03-10,0
49321,23905,1436,Electronics,2023-08-23,0
87392,60273,4378,Electronics,2024-05-29,0
69349,26866,3332,Bills,2024-12-08,0
69545,28472,4160,Bills,2024-06-30,0
46029,63064,1518,Electronics,2023-03-11,0
19836,62071,4581,Entertainment,2024-09-15,0
97438,28297,635,Entertainment,2023-05-27,0
88410,65705,1465,Travel,2024-11-23,0
75709,28033,1351,Bills,2023-03-02,0
39710,28113,2418,Entertainment,2024-05-31,0
90982,30662,4682,Travel,2024-08-17,0
36908,14952,2869,Entertainment,2024-02-09,0
88026,36225,454,Groceries,2024-06-04,0
99187,12961,660,Groceries,2023-11-24,0
11966,82394,4718,Groceries,2024-12-21,0
58808,79310,3111,Travel,2023-06-22,0
23748,58262,4025,Groceries,2023-10-05,0
62642,50011,2645,Entertainment,2023-03-24,0
15324,17585,3509,Groceries,2023-07-07,0
13053,82110,2764,Travel,2024-06-01,0
91816,82043,3868,Bills,2024-05-12,0
88942,86991,1426,Entertainment,2023-07-05,0
37556,21631,864,Groceries,2023-07-31,0
23705,40964,2411,Travel,2023-06-02,0
23967,83317,4514,Travel,2024-08-06,0
82834,40594,4586,Electronics,2024-08-28,0
74228,82043,1717,Bills,2023-09-29,0
94231,94063,3575,Entertainment,2024-01-06,0
79886,18015,4167,Travel,2024-04-03,0
15324,21192,1837,Entertainment,2024-09-10,0
39912,90074,178,Electronics,2024-08-29,0
11966,42179,3553,Travel,2023-12-18,0
90069,90333,570,Travel,2024-10-28,0
13929,40309,52,Entertainment,2024-11-19,0
70897,97396,2973,Travel,2025-01-15,0
14423,79755,3805,Electronics,2023-04-05,0
96263,74936,4621,Entertainment,2024-07-27,0
18284,99298,3551,Electronics,2024-08-25,0
22974,40747,3727,Entertainment,2023-07-14,0
78480,45047,4066,Travel,2024-05-19,0
72449,40964,409,Groceries,2023-10-08,0
24982,79973,2794,Electronics,2024-01-26,0
70475,94303,3267,Entertainment,2024-12-21,0
92967,73547,1221,Electronics,2024-10-11,0
10824,58033,1764,Electronics,2024-03-27,0
54041,82394,4080,Electronics,2024-01-02,0
89408,59563,2702,Bills,2023-01-29,0
37093,97396,3519,Travel,2024-08-30,1
85292,99568,360,Groceries,2024-07-18,0
14272,40735,4501,Travel,2024-12-14,0
54039,45983,2345,Entertainment,2024-06-14,1
35810,15745,2187,Entertainment,2023-05-17,1
82635,37368,2053,Electronics,2024-07-20,0
65981,40446,3283,Entertainment,2024-09-28,0
62754,82857,2536,Entertainment,2025-01-03,0
26948,46516,4937,Groceries,2023-09-08,0
21173,42369,1668,Travel,2024-12-12,0
38391,23539,4759,Entertainment,2024-03-19,0
73467,53316,3842,Travel,2024-03-15,0
68592,35464,3936,Electronics,2023-05-02,0
70062,70551,3662,Travel,2025-01-15,0
18255,73547,224,Electronics,2024-10-18,0
36614,54233,3765,Groceries,2024-01-05,0
73971,10926,1591,Entertainment,2024-01-03,0
60759,98252,2402,Bills,2024-12-13,0
81828,53755,4383,Travel,2024-02-11,0
13176,45642,4746,Groceries,2024-12-16,0
49321,33481,3211,Entertainment,2023-10-21,0
32115,98609,2431,Bills,2024-12-19,0
78835,30157,946,Travel,2023-05-20,0
44774,30761,4738,Groceries,2023-04-10,0
17413,86812,4831,Electronics,2024-04-20,0
22229,58495,1960,Entertainment,2023-05-08,0
61856,80927,4776,Travel,2023-05-08,0
65897,19470,4507,Electronics,2024-04-26,0
11486,46067,2959,Travel,2023-08-21,0
75709,23539,3435,Groceries,2024-12-19,0
40804,25500,2663,Travel,2023-03-09,0
78204,10360,4483,Groceries,2024-03-10,0
55513,66515,3781,Travel,2024-04-07,0
79567,72270,3824,Travel,2024-12-28,0
26890,54233,4408,Electronics,2023-04-30,0
69734,44469,213,Entertainment,2024-07-31,0
97700,94303,1706,Electronics,2024-01-07,0
94110,54036,1600,Travel,2024-11-21,0
42530,78093,2760,Travel,2023-12-23,0
28376,36177,1572,Electronics,2023-05-26,0
59113,24712,3618,Groceries,2023-05-22,0
19836,86265,4260,Electronics,2024-01-16,0
13176,39177,587,Entertainment,2023-11-09,0
73478,14331,2349,Bills,2023-09-26,0
69734,80100,4077,Groceries,2024-10-19,0
76441,55360,95,Bills,2024-01-17,0
52983,77445,406,Electronics,2024-06-26,0
18183,93094,1284,Entertainment,2024-10-06,0
71055,62018,3283,Electronics,2023-07-15,0
35810,74725,811,Bills,2023-01-26,0
18765,69007,587,Entertainment,2023-07-12,0
77358,23730,3034,Travel,2023-11-27,0
91920,41124,4579,Groceries,2023-09-24,0
51188,58033,4130,Travel,2023-12-08,0
53850,46194,1197,Entertainment,2024-03-01,0
62580,79214,2564,Travel,2024-06-21,0
83027,59613,518,Entertainment,2024-03-30,0
56545,16336,4081,Bills,2024-12-10,0
79557,42369,2686,Bills,2024-09-24,0
11537,15674,3208,Entertainment,2024-08-30,0
48497,61020,3439,Electronics,2023-07-27,0
75812,39553,947,Entertainment,2023-10-29,0
26890,22689,4409,Electronics,2024-03-12,0
79557,59431,4298,Travel,2023-02-10,0
15356,39194,2422,Bills,2023-12-10,0
46585,79749,1993,Groceries,2023-04-21,0
60759,79749,4111,Electronics,2024-12-07,0
62219,74725,3314,Travel,2024-06-02,0
40137,68248,4469,Electronics,2024-05-21,0
55301,82857,218,Travel,2024-11-17,0
13053,45537,1981,Travel,2025-01-01,0
11486,12084,2895,Groceries,2023-10-18,0
68248,49865,1023,Travel,2024-04-27,0
14751,28945,3307,Groceries,2024-09-29,0
85292,91803,4629,Bills,2023-05-18,0
44774,71543,3704,Entertainment,2023-09-02,0
64379,83436,1706,Entertainment,2024-04-17,0
90812,27177,4568,Groceries,2024-05-13,0
63861,26487,260,Entertainment,2023-04-27,1
17187,25937,415,Electronics,2023-05-10,0
65405,18266,4816,Groceries,2024-07-30,0
75812,12006,4913,Entertainment,2023-04-24,0
17157,80757,2346,Travel,2023-02-05,0
80521,98808,2582,Travel,2024-01-18,0
29622,73084,4439,Bills,2023-09-25,0
46430,93379,3087,Travel,2024-09-23,0
42349,98609,2967,Electronics,2024-07-22,0
41882,83183,4310,Travel,2023-07-14,0
15987,35595,2627,Groceries,2024-09-17,0
66248,48860,4636,Electronics,2023-09-22,0
59757,98609,2220,Groceries,2023-12-20,0
16154,12084,42,Travel,2023-02-17,0
94944,62857,1031,Travel,2024-11-09,0
